LAUNCH_DATE,PROGRAM,DEPARTMENT,DELIVERABLE,COPY
Dec 28th,Feed Your Resolution,All Store,Print Chalk Hybrid Big Blade,"Feed Your Resolution,With Kite Hill Almond Cheese Ravoili"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,Daiya Dairy-Free Pizza"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,Cappello's Grain Free Pasta,"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,Engine 2 Plant Burgers,"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,Engine 2 Organic Grain Medleys"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,Gluten Free Bread"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,365 Everyday Value Frozen Fruit"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,365 Everyday Value Frozen Veggies"
Dec 28th,Feed Your Resolution,All Store,Ribbon,"Feed Your Resolution With:,365 Everyday Value Organic Riced Cauliflower"
Dec 28th,Eat In Season,Bakery,Ribbon,Eat in Season: Now Celebrating Citrus
Dec 28th,Eat In Season,Bakery,Bib Chips,Eat in Season: Now Celebrating Citrus
Dec 28th,Eat In Season,Bakery,Ribbon,"Eat in Season: Now Celebrating Greens,Baby Kale Foccacia"
Dec 28th,Great for the Game,Bakery,Sign Backers,Great For the Game
Dec 28th,Made Right Here,Bakery,Table Chalk,"Baked Right Here,Vegan Chocolate Chip Cookies,The Best Cookie Around"
Dec 28th,Local,Bakery,Chalk,"Local:,Flaxseed Cibatta,Baked by Izzio Bakehouse, Lewisville, CO XX Miles Away"
Dec 28th,Feed Your Resolution,Bakery,Chalk,"Feed Your Resolution:,Flaxseed Cibatta,Packed with Omega 3s"
Dec 28th,Feed Your Resolution,Bakery,Paddle for Ice Bin,New Arrival: Cold Pressed Bottled Juice
Dec 28th,Feed Your Resolution,Grocery,Endcap Topper,"Feed Your Resolution:,With XX, YY, and ZZ"
Dec 28th,Great for the Game,Grocery,Print Chalk Hybrid Statement Piece,"Great for the Game,IZZE Sodas,0 Artificial Colors, Flavors, or Preservatives"
Dec 28th,Local,Grocery,2up,"Local: Bobo's Oat Bars, Boulder, CO, XX Miles Away"
Dec 28th,Evergreen,Meat,4up,BeeBee Farms Step 5 Rated Chicken
Dec 28th,Great for the Game,Meat,Backers,Great For the Game
Dec 28th,Local,Meat,4up,BeeBee Farms Step 5 Rated Chicken
Dec 28th,Local,Meat,Countertop Chalk,"Black Diamond Berkshire Pork:,Heritage Breed with More Marbeling"
Dec 28th,Evergreen,Meat,Countertop Chalk,"Black Diamond Berkshire Pork:,Heritage Breed with More Marbeling"
Dec 28th,Great for the Game,Meat,Countertop Chalk,"Great for the Game,Chicken Wings (Non-GMO Project Vertical Logo)"
Dec 28th,Evergreen,Meat,Countertop Chalk,BeeBee Farms Step 5 Rated Chicken
Dec 28th,Local,Meat,Countertop Chalk,BeeBee Farms Step 5 Rated Chicken
Dec 28th,Local,Meat,Wall Chalk,"Local: Grass Fed Beef from Crystal River Beef, XX Miles Away"
Dec 28th,Local,Meat,Wall Chalk,Grass Fed Beef from Desert Mountain
Dec 28th,Local,Meat,Wall Chalk,"Local: Grass Fed Beef from Desert Mountain, XX Miles Away"
Dec 28th,Local,Meat,Wall Chalk,"Local: Grass Fed Beef from Lasater, XX Miles Away"
Dec 28th,Local,Meat,Wall Chalk,"Local: Grass Fed Beef from Redger Farms, XX Miles Away"
Dec 28th,Evergreen,Meat,Wall Chalk,Grass Fed Beef from Crystal River Beef
Dec 28th,Feed Your Resolution,PFDS,Sign Backers - bottomers,Feed Your Resolution
Dec 28th,Feed Your Resolution,PFDS,Print Chalk Hybrid Big Blade,"Feed Your Resolution,with Paleo Bowls, Sides, ,and Proteins"
Dec 28th,Great for the Game,PFDS,2up,"Great For the Game,Tortilla Chips,0 Hydrogenated Fats Allowed"
Jan 11th,Great for the Game,PFDS,2up,"Great For the Game,Corn Chips,0 Hydrogenated Fats Allowed"
Dec 28th,Non-GMO,PFDS,Backers,Look for this logo in our deli to find Non-GMO Fed Chicken
Dec 28th,Non-GMO,PFDS,Statement Piece,Look for this logo in our deli to find Non-GMO Fed Chicken
Dec 28th,Feed Your Resolution,PFDS,Wall Chalk,"Feed Your Resolution with Paleo Bowls, Sides, and Proteins"
Dec 28th,Evergreen,Produce,Circle Shouter,New Crop
Jan 11th,Eat In Season,Produce,A-Frame,"Eat In Season:,Sumos Are Coming! (Projected Date of Arrival)"
Jan 11th,Eat In Season,Produce,Print Chalk Hybrid Statement Piece,"(Eat in Season Logo),Sumos Are Coming/Sumos Are Here"
Dec 28th,Eat In Season,Produce,6ups,"Eat In Season: Now Celebrating Citrus & Greens,Bok Choy: Best for Stir-Fry and Braising!,Gai Choy: Mustardy & Spicy!,Gai Lan: Try it Steamed!,Shanghai: Sweet & Delicate!,Baby Bok Choi: Like Chard? You'll Love This!"
Dec 28th,Eat In Season,Produce,Print Chalk Hybrid Blade,"(Eat in Season Logo),Now Celebrating Greens"
Dec 28th,Eat In Season,Produce,6ups,"Eat in Season: Now Celebrating Citrus & Greens,Chard: Great for Stir Fry!,Kale: Excellent for Juicing or Smoothies!,Mustard Greens: Pungent & Spicy!,Collard Greens: Nutrient Dense with Mild Taste!,Arugula: Peppery & Great for Salads!,Spinach: Mild Flavor, Great for Juicing!"
Dec 28th,Feed Your Resolution,Produce,Print Chalk Hybrid Statement Piece,"Feed Your Resolution:,Making Smoothies & Juices,Is Easier Than Ever"
Dec 28th,Feed Your Resolution,Produce,Recipe Card,"Sunrise Breakfast Smoothie:,Making Smoothies & Juices is Easier Than Ever,Ingredients:,1 small carrot, shredded,1 small banana, peeled,3/4 cup raspberries,1/2 cup low-fat plain yogurt,1/2 cup unsweetened vanilla almondmilk,1/2 medium orange, peeled and seeded,1/4 cup rolled oats,Method: ,Combine all ingredients in a blender and blend until very smooth, 2 to 3 minutes. Pour into two tall glasses and enjoy."
Dec 28th,Feed Your Resolution,Produce,Print Chalk Hybrid Big Blade,"Feed Your Resolution:,Cauliflower Rice,Veggie Noodles,Stri Fry Kits"
Dec 28th,Whole Trade,Produce,1up Horizontal,"Whole Trade Grower Profiles - print and post in department around peppers, tomatoes, cucumbers, eggplant, and apples"
Dec 28th,Great for the Game,Seafood,Backers,Great For the Game
Dec 28th,Great for the Game,Seafood,Paddle,"Great for the Game:,Salmon Burgers,Made Right Here"
Dec 28th,Made Right Here,Seafood,Paddle,"Made Right Here:,Stuffed Salmon"
Dec 28th,Great for the Game,Seafood,Paddle,"Great for the Game:,Party Shrimp"
Dec 28th,Feed Your Resolution,Seafood,Wall Chalk,"Feed Your Resolution:,Barramundi,Packed with Protein & Omega-3 Fatty Acids"
Dec 28th,Cut Right Here,Specialty,Blade,We Cut The Cheese - Daily!
Dec 28th,Great for the Game,Specialty,4up Backers,Cheese Board Champion
Dec 28th,Wine,Specialty,2up,Criterion Wines
Dec 28th,Great for the Game,Specialty,Coffin Chalk,Cheese Board Champion
Dec 28th,Great for the Game,Specialty,Coffin Chalk,"Hot & Melty:,Perfect for Grilled Cheese"
Dec 28th,Great for the Game,Specialty,Coffin Chalk,"Hot & Melty:,Perfect for Pizzas"
Dec 28th,Great for the Game,Specialty,Coffin Chalk,"Hot & Melty:,Perfect for Nachos"
Dec 28th,Cut Right Here,Specialty,Coffin Chalk,We Cut The Cheese - Daily!
Dec 28th,BOH,Whole Body,8.5x11 prinout,Double Dip Spreadsheet
Dec 28th,Sale,Whole Body,22x28 Poster,"Pre-Order Now: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,2up,"Pre-Order Now: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Feed Your Resolution,Whole Body,Countertop Chalk,"Free Juice Boost:,Gaia Elderberry Syrup"
Dec 28th,Sale,Whole Body,1up,"Pre-Order Now: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,Mini Blade,"Pre-Order Now: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,22x28 Poster,"Sale: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,2up,"Sale: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,1up,"Sale: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Sale,Whole Body,Mini Blade,"Sale: All Supplements and Powders, 25% Off, Jan 6-8th"
Dec 28th,Feed Your Resolution,Whole Body,Endcap Topper,"Feed Your Resolution:,Whole Foods Market Supplements,No Artificial Colors, Flavors, Or Sweeteners"
Dec 28th,Feed Your Resolution,Whole Body,Print Chalk Hybrid Big Blade,"Feed Your Resolution:,Whole Foods Market Supplements,No Artificial Colors, Flavors, Or Sweeteners"
Dec 28th,Feed Your Resolution,Whole Body,Print Chalk Hybrid Statement Piece,"Feed Your Resolution:,Free Shaker Cup With Purchase"
Dec 28th,Sale,Whole Body,2x2 Square,Save an extra 25% off this price!
Dec 28th,Sale,Whole Body,Chalk,Sale: Save $__
Dec 28th,Sale,Whole Body,Blade,"Sale: Whole Body Supplement Sale, Jan 6th-Jan 8th, 25% Off On All Supplements,Reg Sale,$4.99  $3.74,$9.99  $7.49,$14.99  $11.24,$19.99  $14.99,$24.99  $18.74,$29.99  $22.49,$34.99  $26.24,$39.99  $29.99,$44.99  $33.74,$49.99  $37.49"
